,location,total_sqft,bath,price,bhk
677,Bommasandra,1014.0,2.0,35.0,2
678,Bommasandra,1020.0,2.0,40.89,2
679,Bommasandra,920.0,2.0,37.2,2
680,Bommasandra,800.0,1.0,32.0,2
681,Bommasandra,1280.0,3.0,50.0,3
682,Bommasandra,1127.0,2.0,45.0,2
684,Bommasandra,877.0,2.0,29.0,2
685,Bommasandra,1365.0,3.0,52.81,3
686,Bommasandra,842.0,2.0,30.0,2
687,Bommasandra,1260.0,3.0,49.36,3
688,Bommasandra,1365.0,3.0,52.82,3
689,Bommasandra,955.0,2.0,37.97,2
690,Bommasandra,1089.0,2.0,40.0,2
691,Bommasandra,1365.0,3.0,53.96,3
692,Bommenahalli,1200.0,3.0,125.0,3
693,Bommenahalli,1632.0,3.0,145.0,4
694,Bommenahalli,1670.0,3.0,135.0,4
695,Bommenahalli,1680.0,3.0,135.0,4
696,Bommenahalli,1632.0,3.0,128.0,4
697,Bommenahalli,3339.0,3.0,250.0,3
698,Bommenahalli,1355.0,3.0,135.0,4
699,Bommenahalli,1232.0,3.0,96.0,3
700,Bommenahalli,1632.0,3.0,140.0,4
701,Brookefield,1150.0,2.0,69.0,2
702,Brookefield,1142.0,2.0,70.0,2
705,Brookefield,1476.0,3.0,105.0,3
706,Brookefield,1262.0,2.0,75.0,2
707,Brookefield,1139.0,2.0,80.0,2
708,Brookefield,1125.0,2.0,70.0,2
709,Brookefield,1420.0,3.0,85.0,3
711,Brookefield,941.0,2.0,48.0,2
714,Brookefield,1100.0,2.0,55.0,2
715,Brookefield,2400.0,3.0,140.0,4
716,Brookefield,1225.0,2.0,66.5,2
717,Brookefield,1080.0,2.0,50.0,2
718,Brookefield,1200.0,2.0,75.0,2
719,Brookefield,1089.0,2.0,49.0,2
720,Brookefield,1130.0,2.0,56.0,2
721,Brookefield,1270.0,2.0,95.0,2
722,Brookefield,1706.0,3.0,115.0,3
723,Brookefield,1389.0,2.0,94.0,2
725,Brookefield,1225.0,2.0,72.0,2
727,Brookefield,1746.0,3.0,115.0,3
729,Brookefield,1382.0,2.0,84.5,2
730,Brookefield,1260.0,2.0,70.0,2
731,Budigere,1153.0,2.0,56.4,2
732,Budigere,1162.0,2.0,59.9,2
733,Budigere,1991.0,4.0,103.0,3
734,Budigere,1153.0,2.0,57.0,2
735,Budigere,1162.0,2.0,57.0,2
736,Budigere,1139.0,2.0,56.8,2
737,Budigere,1139.0,2.0,56.85,2
738,Budigere,1991.0,4.0,100.0,3
739,Budigere,664.0,1.0,35.0,1
740,Budigere,1820.0,3.0,93.0,3
741,Budigere,1636.0,3.0,85.0,3
742,Budigere,1444.0,2.0,70.0,2
743,Budigere,1139.0,2.0,60.0,2
745,Budigere,1820.0,3.0,93.0,3
747,Budigere,1162.0,2.0,58.0,2
748,Budigere,1636.0,3.0,85.0,3
749,Budigere,1087.0,2.0,54.3,2
751,Budigere,664.0,1.0,35.4,1
752,Budigere,1153.0,2.0,56.7,2
754,Budigere,1139.0,2.0,56.5,2
755,Budigere,1636.0,3.0,83.0,3
756,Budigere,664.0,1.0,34.0,1
758,Budigere,1162.0,2.0,58.0,2
759,Budigere,1153.0,2.0,60.0,2
760,Budigere,1820.0,3.0,99.0,3
761,Budigere,1172.0,2.0,56.725,2
764,Budigere,1820.0,3.0,95.0,3
765,Budigere,1991.0,4.0,100.0,3
766,Budigere,1820.0,3.0,95.5,3
767,Budigere,1153.0,2.0,56.0,2
768,Budigere,705.0,1.0,34.545,1
769,Budigere,1153.0,2.0,56.5,2
770,Budigere,1153.0,2.0,58.0,2
771,Budigere,1636.0,3.0,88.0,3
772,Budigere,1153.0,2.0,56.55,2
773,Budigere,1153.0,2.0,56.5,2
774,Budigere,1153.0,2.0,60.0,2
775,CV Raman Nagar,1120.0,2.0,55.0,2
776,CV Raman Nagar,740.0,2.0,37.0,2
777,CV Raman Nagar,1392.0,2.0,98.0,2
778,CV Raman Nagar,1825.0,3.0,126.0,3
779,CV Raman Nagar,1025.0,2.0,50.0,2
780,CV Raman Nagar,1198.0,2.0,60.0,2
781,CV Raman Nagar,1560.0,2.0,85.0,2
783,CV Raman Nagar,1100.0,2.0,58.0,2
784,CV Raman Nagar,1051.0,2.0,61.0,2
785,CV Raman Nagar,1020.0,2.0,55.0,2
786,CV Raman Nagar,1285.0,2.0,65.0,2
787,CV Raman Nagar,1040.0,2.0,50.0,2
788,CV Raman Nagar,1392.0,2.0,95.0,2
789,CV Raman Nagar,705.0,2.0,50.0,1
790,Chandapura,650.0,1.0,17.0,2
791,Chandapura,645.0,1.0,16.45,1
792,Chandapura,645.0,1.0,16.45,1
794,Chandapura,1015.0,2.0,25.88,2
795,Chandapura,530.0,1.0,11.66,1
797,Chandapura,1025.0,2.0,27.68,2
798,Chandapura,582.5,1.0,15.135,1
799,Chandapura,1015.0,2.0,25.88,2
801,Chandapura,1065.0,2.0,33.0,3
803,Chandapura,590.0,1.0,13.57,1
804,Chandapura,645.0,1.0,16.45,1
805,Chandapura,630.0,1.0,13.86,1
807,Chandapura,1015.0,2.0,25.88,2
808,Chandapura,520.0,1.0,14.04,1
809,Chandapura,975.0,2.0,24.86,2
810,Chandapura,645.0,1.0,16.45,1
811,Chandapura,985.0,2.0,25.12,2
812,Chandapura,645.0,1.0,16.45,1
813,Chandapura,975.0,2.0,24.86,2
814,Chandapura,700.0,1.0,19.0,2
816,Chandapura,1095.0,2.0,32.0,3
817,Chandapura,1208.51,3.0,42.0,3
818,Chandapura,876.0,2.0,29.5,2
819,Chandapura,645.0,1.0,16.45,1
820,Chandapura,1505.0,2.0,42.0,3
821,Chandapura,645.0,1.0,16.45,1
822,Chandapura,937.0,2.0,30.0,2
823,Chandapura,1025.0,2.0,27.68,2
824,Chandapura,975.0,2.0,24.86,2
825,Chandapura,800.0,2.0,25.0,2
826,Chandapura,645.0,1.0,16.45,1
827,Chandapura,778.0,2.0,25.29,2
829,Chandapura,950.0,2.0,25.65,2
830,Chandapura,645.0,1.0,16.45,1
836,Chandapura,985.0,2.0,25.12,2
838,Chandapura,1025.0,2.0,27.68,2
840,Chandapura,1015.0,2.0,25.88,2
841,Chandapura,1345.0,2.0,39.5,3
842,Chandapura,1015.0,2.0,25.88,2
844,Chandapura,975.0,2.0,24.86,2
845,Chandapura,520.0,1.0,14.04,1
848,Chandapura,1323.0,2.0,42.0,3
849,Chandapura,985.0,2.0,25.12,2
850,Chandapura,645.0,1.0,16.45,1
851,Chandapura,645.0,1.0,16.45,1
852,Chandapura,740.0,1.0,22.0,2
853,Chandapura,876.0,2.0,28.47,2
855,Chandapura,520.0,1.0,14.04,1
856,Channasandra,1340.0,2.0,48.33,3
857,Channasandra,1009.0,2.0,38.34,2
858,Channasandra,1065.0,2.0,35.0,2
859,Channasandra,1115.0,2.0,33.45,2
860,Channasandra,1030.0,2.0,34.5,2
861,Channasandra,1104.0,2.0,35.5,2
862,Channasandra,1065.0,2.0,40.47,2
863,Channasandra,1310.0,2.0,45.0,3
864,Channasandra,1050.0,2.0,35.0,2
865,Channasandra,1093.0,2.0,34.0,2
866,Channasandra,1123.0,2.0,36.0,2
867,Channasandra,1000.0,2.0,35.0,2
868,Channasandra,1093.0,2.0,37.0,2
869,Channasandra,1115.0,2.0,35.8,2
870,Channasandra,1065.0,2.0,36.0,2
871,Channasandra,1050.0,2.0,44.41,2
872,Channasandra,1010.0,2.0,32.0,2
873,Chikka Tirupathi,2600.0,5.0,120.0,4
874,Chikka Tirupathi,1808.0,4.0,80.27,3
875,Chikka Tirupathi,3297.0,3.0,135.0,3
876,Chikka Tirupathi,3500.0,5.0,150.0,4
877,Chikka Tirupathi,2704.0,5.0,105.0,4
878,Chikka Tirupathi,3250.0,4.0,136.0,4
879,Chikka Tirupathi,2665.0,5.0,125.0,4
880,Choodasandra,1115.0,2.0,50.0,2
881,Choodasandra,1300.0,2.0,57.0,2
882,Choodasandra,1530.0,3.0,77.0,3
885,Choodasandra,1197.0,2.0,63.0,2
886,Choodasandra,1465.0,3.0,75.0,3
887,Choodasandra,1115.0,2.0,50.0,2
888,Choodasandra,1215.0,2.0,59.0,2
889,Choodasandra,1254.0,2.0,65.0,3
890,Choodasandra,725.0,2.0,36.0,2
892,Choodasandra,1075.0,2.0,45.0,2
893,Choodasandra,1180.0,2.0,71.22,2
894,Choodasandra,1140.0,2.0,62.0,2
896,Choodasandra,1560.0,3.0,78.0,3
897,Choodasandra,1065.0,2.0,46.0,2
898,Choodasandra,1115.0,2.0,50.0,2
900,Choodasandra,1115.0,2.0,50.0,2
901,Dasanapura,708.0,2.0,37.0,2
902,Dasanapura,708.0,1.0,40.0,2
903,Dasanapura,1286.0,3.0,61.44,3
904,Dasanapura,814.0,2.0,42.0,2
905,Dasanapura,1163.0,2.0,65.0,2
906,Dasanapura,1286.0,2.0,68.0,3
907,Dasanapura,708.0,1.0,41.0,1
908,Dasanapura,814.0,2.0,43.7,2
909,Dasarahalli,1295.0,2.0,65.0,2
910,Dasarahalli,1520.0,2.0,75.0,3
911,Dasarahalli,1150.0,2.0,70.0,2
912,Dasarahalli,2100.0,3.0,120.0,3
913,Dasarahalli,1333.0,2.0,78.56,2
914,Dasarahalli,1220.0,2.0,62.0,2
915,Devanahalli,1260.0,2.0,66.78,2
916,Devanahalli,1282.0,2.0,68.52,3
917,Devanahalli,1360.0,2.0,65.0,2
918,Devanahalli,1010.0,2.0,51.0,2
919,Devanahalli,1080.0,2.0,53.35,2
920,Devanahalli,1080.0,2.0,44.0,2
922,Devanahalli,1174.0,2.0,59.0,2
923,Devanahalli,658.0,1.0,34.0,1
924,Devanahalli,658.0,1.0,26.91,1
925,Devanahalli,698.5,1.0,28.57,1
926,Devanahalli,1080.0,2.0,52.0,2
927,Devanahalli,1700.0,3.0,88.2,3
928,Devanahalli,1498.0,3.0,79.15,3
929,Devanahalli,1466.0,3.0,77.59,3
930,Devanahalli,1020.0,2.0,49.87,1
932,Devanahalli,1340.0,2.0,65.0,2
933,Devanahalli,1230.0,2.0,56.45,2
934,Devanahalli,1360.0,2.0,62.425,2
935,Devanahalli,658.0,1.0,26.91,1
937,Devanahalli,1010.0,2.0,58.0,2
940,Dodda Nekkundi,1260.0,2.0,55.0,2
941,Dodda Nekkundi,850.0,2.0,28.0,2
942,Dodda Nekkundi,1080.0,2.0,50.0,2
943,Dodda Nekkundi,1252.0,2.0,71.0,3
944,Dodda Nekkundi,1145.0,2.0,46.5,2
945,Dodda Nekkundi,1135.0,2.0,58.0,2
946,Dodda Nekkundi,1200.0,2.0,71.0,2
947,Dodda Nekkundi,1585.0,2.0,79.0,3
948,Dodda Nekkundi,1005.0,2.0,45.0,2
949,Doddathoguru,970.0,2.0,33.0,2
950,Doddathoguru,1030.0,2.0,42.0,2
951,Doddathoguru,1549.0,3.0,65.0,3
952,Doddathoguru,1015.0,2.0,33.5,2
953,Doddathoguru,1104.0,2.0,39.0,2
954,Doddathoguru,915.0,2.0,32.0,2
955,Doddathoguru,1595.0,3.0,62.0,3
956,Doddathoguru,855.0,2.0,32.0,2
957,Doddathoguru,925.0,2.0,30.0,2
958,Doddathoguru,1208.0,3.0,45.0,3
959,Doddathoguru,940.0,2.0,32.9,2
960,Doddathoguru,1107.0,2.0,44.0,2
961,Doddathoguru,907.0,2.0,40.0,2
962,Domlur,1875.0,2.0,150.0,3
963,Domlur,640.0,1.0,55.0,1
964,Domlur,1050.0,2.0,85.0,2
965,Domlur,1800.0,3.0,150.0,3
966,Domlur,1950.0,3.0,165.0,3
967,Domlur,780.0,1.0,70.0,1
968,Domlur,1695.0,3.0,125.0,3
969,Domlur,1246.0,2.0,95.0,2
970,Domlur,2100.0,3.0,145.0,3
971,EPIP Zone,1499.0,5.0,102.0,3
972,EPIP Zone,2330.0,3.0,162.0,3
973,EPIP Zone,1330.0,2.0,92.5,2
974,EPIP Zone,1330.0,2.0,86.98,2
975,EPIP Zone,1330.0,2.0,93.36,2
977,EPIP Zone,1500.0,3.0,102.0,3
978,EPIP Zone,1125.0,2.0,65.0,2
979,EPIP Zone,1734.0,3.0,125.0,3
981,EPIP Zone,1343.0,2.0,86.0,2
982,EPIP Zone,2350.0,4.0,163.0,3
983,EPIP Zone,1860.0,3.0,130.0,3
984,EPIP Zone,2210.0,3.0,165.0,3
985,EPIP Zone,2710.0,3.0,177.0,3
991,Electronic City,1060.0,2.0,60.0,2
992,Electronic City,1152.0,2.0,64.5,2
997,Electronic City,589.0,1.0,27.0,1
1000,Electronic City,1108.0,2.0,63.0,2
1001,Electronic City,1128.0,2.0,65.0,2
1002,Electronic City,1800.0,3.0,95.0,3
1003,Electronic City,630.0,1.0,34.65,1
1004,Electronic City,1128.0,2.0,63.0,2
1005,Electronic City,1599.0,3.0,99.0,3
1009,Electronic City,1128.0,2.0,68.75,2
1010,Electronic City,1342.0,2.0,73.3,2
1011,Electronic City,1360.0,2.0,71.0,3
1014,Electronic City,1691.0,2.0,102.0,3
1015,Electronic City,1128.0,2.0,65.49,2
1017,Electronic City,1070.0,2.0,56.1,2
1019,Electronic City,1128.0,2.0,65.65,2
1023,Electronic City,1360.0,2.0,75.0,3
1025,Electronic City,1128.0,2.0,64.0,2
1027,Electronic City,1571.0,3.0,89.0,3
1029,Electronic City,630.0,1.0,47.0,1
1031,Electronic City,1374.0,2.0,72.0,3
1033,Electronic City,1128.0,2.0,65.35,2
1034,Electronic City,1128.0,2.0,65.0,2
1038,Electronic City,1563.0,3.0,91.84,3
1045,Electronic City,1128.0,2.0,68.0,2
1046,Electronic City,1360.0,2.0,70.5,3
1047,Electronic City,1571.0,3.0,105.0,3
1050,Electronic City,1600.0,3.0,104.0,3
1051,Electronic City,1500.0,2.0,100.0,3
1054,Electronic City,1152.0,2.0,65.0,2
1055,Electronic City,1070.0,2.0,60.0,2
1056,Electronic City,1128.0,2.0,65.5,2
1058,Electronic City,1152.0,2.0,65.75,2
1061,Electronic City,1060.0,2.0,58.0,2
1062,Electronic City,1025.0,2.0,54.1,2
1066,Electronic City,1500.0,2.0,78.0,3
1068,Electronic City,1575.0,3.0,90.0,3
1069,Electronic City,435.0,1.0,19.5,1
1070,Electronic City,1449.0,3.0,100.0,3
1073,Electronic City,1575.0,3.0,101.0,3
1076,Electronic City,1500.0,2.0,78.25,3
1077,Electronic City,1363.0,2.0,79.0,2
1079,Electronic City,1108.0,2.0,67.15,2
1080,Electronic City,1128.0,2.0,65.7,2
1085,Electronic City,1449.0,3.0,90.0,3
1086,Electronic City,1070.0,2.0,58.0,2
1088,Electronic City,1500.0,2.0,75.0,3
1091,Electronic City,630.0,1.0,47.0,1
1094,Electronic City,1073.0,2.0,60.0,2
1095,Electronic City,1500.0,2.0,78.0,3
1098,Electronic City,1140.0,2.0,70.93,2
1102,Electronic City,2093.0,4.0,104.0,4
1103,Electronic City,1025.0,2.0,53.9,2
1104,Electronic City,940.0,2.0,54.0,2
1105,Electronic City,435.0,1.0,21.0,1
1106,Electronic City,1500.0,2.0,77.5,3
1107,Electronic City,1631.0,3.0,80.0,3
1110,Electronic City,435.0,1.0,22.0,1
1115,Electronic City,1128.0,2.0,64.0,2
1117,Electronic City,530.0,1.0,13.5,1
1119,Electronic City,1571.0,3.0,83.0,3
1121,Electronic City,1350.0,3.0,66.0,3
1122,Electronic City,1652.0,3.0,110.0,3
1124,Electronic City,1128.0,2.0,65.58,2
1125,Electronic City,1355.0,2.0,97.6,2
1126,Electronic City,635.0,1.0,28.0,1
1127,Electronic City,1128.0,2.0,65.4,2
1130,Electronic City,1355.0,2.0,72.9,2
1132,Electronic City,1609.0,3.0,115.0,3
1138,Electronic City,1108.0,2.0,63.0,2
1139,Electronic City,630.0,1.0,40.5,1
1142,Electronic City,605.0,1.0,22.0,1
1146,Electronic City,1360.0,2.0,70.0,3
1147,Electronic City,635.0,1.0,28.0,1
1148,Electronic City,1128.0,2.0,65.45,2
1154,Electronic City,630.0,1.0,46.0,1
1155,Electronic City,630.0,1.0,33.7,1
1159,Electronic City,1258.0,2.0,85.5,2
1160,Electronic City,1386.0,2.0,85.0,2
1161,Electronic City,550.0,1.0,27.0,1
1164,Electronic City,1342.0,2.0,72.0,2
1165,Electronic City,1275.0,3.0,70.0,3
1169,Electronic City,1644.0,3.0,92.59,3
1171,Electronic City,1128.0,2.0,64.8,2
1173,Electronic City,710.0,1.0,40.42,1
1175,Electronic City,1275.0,3.0,63.43,3
1176,Electronic City,1518.0,3.0,75.0,3
1178,Electronic City,1353.0,2.0,75.0,2
1179,Electronic City,1128.0,2.0,67.0,2
1180,Electronic City,1070.0,2.0,57.0,2
1181,Electronic City,1700.0,3.0,90.0,3
1184,Electronic City,1070.0,2.0,60.0,2
1187,Electronic City,1615.0,3.0,97.0,3
1188,Electronic City,1221.0,2.0,68.0,2
1191,Electronic City,1342.0,2.0,90.0,2
1192,Electronic City,1128.0,2.0,63.5,2
1193,Electronic City,589.0,1.0,29.0,1
1195,Electronic City,1575.0,3.0,94.5,3
1197,Electronic City,1025.0,2.0,54.0,2
1198,Electronic City,1500.0,2.0,70.0,3
1200,Electronic City,2093.0,4.0,134.0,4
1202,Electronic City,1355.0,2.0,73.0,2
1203,Electronic City,1360.0,2.0,64.99,3
1205,Electronic City Phase II,1056.0,2.0,39.07,2
1206,Electronic City Phase II,1020.0,2.0,30.6,2
1207,Electronic City Phase II,1069.0,2.0,45.0,2
1208,Electronic City Phase II,630.0,1.0,28.35,1
1210,Electronic City Phase II,1090.0,2.0,28.34,2
1211,Electronic City Phase II,2225.0,4.0,98.88,4
1213,Electronic City Phase II,1266.0,2.0,59.0,2
1214,Electronic City Phase II,1000.0,2.0,28.88,2
1217,Electronic City Phase II,972.0,2.0,44.0,2
1218,Electronic City Phase II,1003.0,2.0,40.6,2
1220,Electronic City Phase II,1395.0,2.0,62.78,3
1221,Electronic City Phase II,1160.0,2.0,33.5,2
1222,Electronic City Phase II,1065.0,2.0,30.75,2
1224,Electronic City Phase II,1000.0,2.0,28.88,2
1226,Electronic City Phase II,900.0,2.0,32.5,2
1229,Electronic City Phase II,1418.0,3.0,52.47,3
1230,Electronic City Phase II,1070.0,2.0,45.0,2
1232,Electronic City Phase II,1140.0,2.0,33.06,2
1233,Electronic City Phase II,1089.0,2.0,32.67,2
1235,Electronic City Phase II,1160.0,2.0,33.5,2
1236,Electronic City Phase II,975.0,2.0,45.0,3
1237,Electronic City Phase II,1116.0,2.0,37.0,2
1238,Electronic City Phase II,1125.0,2.0,29.25,2
1239,Electronic City Phase II,1000.0,2.0,28.88,2
1240,Electronic City Phase II,1000.0,2.0,28.88,2
1241,Electronic City Phase II,1000.0,2.0,28.88,2
1242,Electronic City Phase II,1165.0,2.0,30.29,2
1244,Electronic City Phase II,1065.0,2.0,30.88,2
1247,Electronic City Phase II,920.0,2.0,26.0,2
1248,Electronic City Phase II,1140.0,2.0,33.84,2
1249,Electronic City Phase II,1125.0,2.0,32.49,2
1252,Electronic City Phase II,1140.0,2.0,32.92,2
1253,Electronic City Phase II,1116.0,2.0,40.0,2
1254,Electronic City Phase II,1150.0,3.0,46.0,3
1255,Electronic City Phase II,1502.0,3.0,50.0,3
1256,Electronic City Phase II,1020.0,2.0,32.0,2
1257,Electronic City Phase II,1020.0,2.0,27.43,2
1258,Electronic City Phase II,1025.0,2.0,26.65,2
1259,Electronic City Phase II,1020.0,2.0,29.45,2
1260,Electronic City Phase II,1000.0,2.0,28.88,2
1262,Electronic City Phase II,1125.0,2.0,32.49,2
1263,Electronic City Phase II,1200.0,2.0,34.65,2
1264,Electronic City Phase II,1160.0,2.0,52.2,2
1265,Electronic City Phase II,1244.0,2.0,55.0,2
1266,Electronic City Phase II,1160.0,2.0,33.51,2
1269,Electronic City Phase II,972.0,2.0,40.0,2
1270,Electronic City Phase II,1160.0,2.0,33.51,2
1272,Electronic City Phase II,1090.0,2.0,31.48,2
1273,Electronic City Phase II,1140.0,2.0,32.92,2
1274,Electronic City Phase II,1160.0,2.0,33.5,2
1275,Electronic City Phase II,1025.0,2.0,29.6,2
1277,Electronic City Phase II,1125.0,2.0,32.63,2
1278,Electronic City Phase II,1140.0,2.0,34.0,2
1281,Electronic City Phase II,1135.0,2.0,46.0,2
1282,Electronic City Phase II,1165.0,2.0,33.64,2
1284,Electronic City Phase II,1336.0,2.0,50.35,3
1285,Electronic City Phase II,1065.0,2.0,30.76,2
1286,Electronic City Phase II,1065.0,2.0,30.75,2
1287,Electronic City Phase II,1140.0,2.0,33.06,2
1288,Electronic City Phase II,1200.0,2.0,34.65,2
1291,Electronics City Phase 1,1475.0,3.0,78.29,3
1292,Electronics City Phase 1,1490.0,3.0,78.8,3
1293,Electronics City Phase 1,1113.27,2.0,53.0,2
1294,Electronics City Phase 1,1490.0,3.0,84.0,3
1295,Electronics City Phase 1,1175.0,2.0,51.47,2
1297,Electronics City Phase 1,1015.0,2.0,56.0,2
1299,Electronics City Phase 1,1515.0,2.0,80.91,3
1300,Electronics City Phase 1,1555.0,2.0,82.0,3
1301,Electronics City Phase 1,1340.0,2.0,75.0,2
1303,Electronics City Phase 1,1175.0,2.0,57.0,2
1304,Electronics City Phase 1,755.0,1.0,42.41,1
1305,Electronics City Phase 1,580.0,1.0,27.0,1
1306,Electronics City Phase 1,940.0,2.0,49.0,2
1307,Electronics City Phase 1,1335.0,2.0,67.0,2
1308,Electronics City Phase 1,1175.0,2.0,69.0,2
1309,Electronics City Phase 1,1113.12,2.0,55.0,2
1310,Electronics City Phase 1,635.0,1.0,26.0,1
1311,Electronics City Phase 1,1190.0,2.0,68.0,2
1312,Electronics City Phase 1,1085.0,2.0,46.0,2
1314,Electronics City Phase 1,1175.0,2.0,64.98,2
1315,Electronics City Phase 1,1200.0,2.0,59.76,2
1316,Electronics City Phase 1,1145.0,2.0,54.0,2
1317,Electronics City Phase 1,1125.0,2.0,65.0,2
1318,Electronics City Phase 1,1550.0,2.0,82.0,3
1319,Electronics City Phase 1,1175.0,2.0,50.0,2
1323,Electronics City Phase 1,1314.0,2.0,60.0,2
1324,Electronics City Phase 1,1170.0,2.0,62.0,2
1325,Electronics City Phase 1,1450.0,3.0,79.0,3
1326,Electronics City Phase 1,1080.0,2.0,46.0,2
1327,Electronics City Phase 1,1205.0,2.0,60.0,2
1328,Electronics City Phase 1,1305.0,2.0,67.0,2
1329,Electronics City Phase 1,755.0,1.0,30.12,1
1330,Electronics City Phase 1,1175.0,2.0,60.0,2
1331,Frazer Town,1700.0,3.0,180.0,3
1332,Frazer Town,1870.0,3.0,185.0,3
1333,Frazer Town,1750.0,3.0,150.0,3
1335,Frazer Town,3500.0,4.0,330.0,3
1336,Frazer Town,1550.0,2.0,140.0,2
1337,Frazer Town,1900.0,4.0,145.0,3
1338,Frazer Town,2560.0,3.0,265.0,3
1340,Frazer Town,1315.0,2.0,140.0,2
1341,Frazer Town,3435.0,2.0,341.0,4
1342,Frazer Town,5400.0,3.0,400.0,3
1343,Frazer Town,1870.0,3.0,180.0,3
1344,Frazer Town,1420.0,2.0,120.0,2
1345,Gollarapalya Hosahalli,861.0,2.0,34.5,2
1346,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
1347,Gollarapalya Hosahalli,861.0,2.0,34.5,2
1348,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
1349,Gollarapalya Hosahalli,861.0,2.0,36.5,2
1350,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
1351,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
1352,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
1353,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
1354,Gottigere,1618.0,3.0,82.5,3
1355,Gottigere,1222.0,2.0,63.0,2
1356,Gottigere,1153.0,2.0,48.5,2
1357,Gottigere,1460.0,2.0,65.0,3
1358,Gottigere,1500.0,3.0,70.0,3
1359,Gottigere,1621.0,3.0,72.0,3
1360,Gottigere,990.0,2.0,40.0,2
1361,Gottigere,1235.0,2.0,63.0,2
1362,Gottigere,1385.0,3.0,64.0,3
1363,Gottigere,1000.0,2.0,35.0,2
1364,Gottigere,1010.0,2.0,35.0,2
1367,Gottigere,945.0,2.0,45.0,2
1369,Gottigere,1120.0,2.0,50.0,2
1371,Gottigere,1205.0,2.0,56.58,2
1372,Gottigere,1613.0,3.0,72.0,3
1373,Gottigere,1245.0,2.0,59.0,2
1374,Gottigere,1200.0,2.0,50.0,2
1375,Green Glen Layout,1670.0,3.0,120.0,3
1376,Green Glen Layout,1776.42,3.0,105.0,3
1377,Green Glen Layout,940.0,2.0,56.8,2
1378,Green Glen Layout,1075.0,2.0,60.0,2
1379,Green Glen Layout,1715.0,3.0,115.0,3
1380,Green Glen Layout,1751.0,2.0,115.0,3
1381,Green Glen Layout,1530.0,3.0,105.0,3
1382,Green Glen Layout,1752.0,3.0,105.0,3
1383,Green Glen Layout,1680.0,4.0,95.0,3
1384,Green Glen Layout,1728.0,3.0,125.0,3
1385,Green Glen Layout,1645.0,3.0,110.0,3
1386,Green Glen Layout,1517.0,3.0,100.0,3
1387,Green Glen Layout,1750.0,3.0,120.0,3
1388,Green Glen Layout,1751.0,3.0,115.0,3
1389,Green Glen Layout,1750.0,3.0,105.0,3
1390,Green Glen Layout,1885.0,3.0,135.0,3
1391,Green Glen Layout,1715.0,3.0,120.0,3
1392,Green Glen Layout,1623.29,2.0,105.0,3
1393,Green Glen Layout,1715.0,3.0,115.0,3
1394,Green Glen Layout,1715.0,3.0,105.0,3
1395,Green Glen Layout,1600.0,3.0,105.0,3
1396,Green Glen Layout,1717.0,3.0,125.0,3
1397,Green Glen Layout,1715.0,3.0,112.0,3
1398,Gubbalala,1470.0,2.0,82.0,3
1399,Gubbalala,1745.0,3.0,125.0,3
1400,Gubbalala,1745.0,3.0,104.0,3
1401,Gubbalala,1745.0,3.0,115.0,3
1402,Gubbalala,1745.0,3.0,110.0,3
1403,Gubbalala,1205.0,2.0,70.0,2
1404,Gubbalala,1435.0,2.0,80.0,3
1405,Gubbalala,1475.0,2.0,80.0,2
1406,Gubbalala,2000.0,3.0,125.0,3
1407,Gubbalala,1285.0,2.0,90.0,2
1408,Gunjur,1140.0,2.0,43.0,2
1409,Gunjur,1600.0,3.0,75.0,3
1410,Gunjur,1140.0,2.0,49.11,2
1411,Gunjur,1195.0,2.0,44.0,2
1412,Gunjur,1457.0,2.0,60.0,2
1413,Gunjur,1080.0,2.0,41.0,2
1416,Gunjur,1175.0,2.0,43.48,2
1417,Gunjur,1362.0,3.0,62.63,3
1418,Gunjur,1063.0,2.0,40.0,2
1419,Gunjur,1235.0,2.0,52.76,2
1420,Gunjur,1362.0,3.0,62.63,3
1421,Gunjur,1362.0,3.0,62.63,3
1422,Gunjur,1457.0,2.0,60.0,2
1424,HSR Layout,1372.0,2.0,68.0,2
1425,HSR Layout,1140.0,2.0,46.0,2
1426,HSR Layout,1372.0,2.0,61.0,2
1427,HSR Layout,1750.0,3.0,95.0,3
1428,HSR Layout,1140.0,2.0,46.0,2
1429,HSR Layout,1372.0,2.0,61.0,2
1430,HSR Layout,1140.0,2.0,46.0,2
1431,HSR Layout,1127.0,2.0,68.0,2
1432,HSR Layout,1145.0,2.0,48.0,2
1433,HSR Layout,1009.0,2.0,56.0,2
1434,HSR Layout,1140.0,2.0,46.0,2
1435,HSR Layout,1126.0,2.0,69.0,2
1437,HSR Layout,1140.0,2.0,46.0,2
1438,HSR Layout,1145.0,2.0,46.0,2
1439,HSR Layout,1142.0,2.0,65.0,2
1440,HSR Layout,1145.0,2.0,46.0,2
1441,HSR Layout,1844.0,3.0,95.0,3
1442,HSR Layout,1203.0,2.0,72.0,2
1443,HSR Layout,1140.0,2.0,46.0,2
1444,HSR Layout,1140.0,2.0,46.0,2
1445,HSR Layout,1145.0,2.0,46.0,2
